IndexNumber,FirstDateOfWeek,LastDateOfWeek,MMWRweek,MMWRyear,Disease,Cases
1,2020-01-12,2020-01-18,3,2020,Congenital syphilis,0
2,2020-01-12,2020-01-18,3,2020,Hepatitis B (acute),0
3,2020-01-12,2020-01-18,3,2020,Hepatitis B (chronic),7
4,2020-01-12,2020-01-18,3,2020,Hepatitis C (acute),1
5,2020-01-12,2020-01-18,3,2020,HUS,0
6,2020-01-12,2020-01-18,3,2020,Legionellosis,4
7,2020-01-12,2020-01-18,3,2020,Listeriosis,0
8,2020-01-12,2020-01-18,3,2020,Meningococcal disease,0
9,2020-01-12,2020-01-18,3,2020,Mpox,0
10,2020-01-12,2020-01-18,3,2020,Mumps,0
11,2020-01-12,2020-01-18,3,2020,Pertussis,12
12,2020-01-12,2020-01-18,3,2020,Pesticide Poisoning,3
13,2020-01-12,2020-01-18,3,2020,Shigellosis,2
14,2020-01-12,2020-01-18,3,2020,West Nile virus,0
15,2020-01-19,2020-01-25,4,2020,Campylobacteriosis,13
16,2020-01-19,2020-01-25,4,2020,Chlamydia,381
17,2020-01-19,2020-01-25,4,2020,Early syphilis,20
18,2020-01-19,2020-01-25,4,2020,Extrapulmonary NTM,1
19,2020-01-19,2020-01-25,4,2020,Haemophilus influenzae,3
20,2020-01-19,2020-01-25,4,2020,Hepatitis C (chronic),98
21,2020-01-19,2020-01-25,4,2020,Malaria,0
22,2020-01-19,2020-01-25,4,2020,Measles,0
23,2020-01-26,2020-02-01,5,2020,Coccidioidomycosis,2
24,2020-01-26,2020-02-01,5,2020,Congenital syphilis,0
25,2020-01-26,2020-02-01,5,2020,E. coli (STEC),4
26,2020-01-26,2020-02-01,5,2020,Gonorrhea,145
27,2020-01-26,2020-02-01,5,2020,Hepatitis A,0
28,2020-01-26,2020-02-01,5,2020,HUS,0
29,2020-01-26,2020-02-01,5,2020,Listeriosis,0
30,2020-01-26,2020-02-01,5,2020,Pesticide Poisoning,2
31,2020-01-26,2020-02-01,5,2020,Vibriosis,1
32,2020-01-26,2020-02-01,5,2020,Yersiniosis,1
33,2020-02-02,2020-02-08,6,2020,Adult lead poisoning,0
34,2020-02-02,2020-02-08,6,2020,Campylobacteriosis,19
35,2020-02-02,2020-02-08,6,2020,Childhood lead poisoning,3
36,2020-02-02,2020-02-08,6,2020,Cryptosporidiosis,2
37,2020-02-02,2020-02-08,6,2020,Haemophilus influenzae,1
38,2020-02-02,2020-02-08,6,2020,Legionellosis,1
39,2020-02-02,2020-02-08,6,2020,Lyme disease,0
40,2020-02-02,2020-02-08,6,2020,West Nile virus,0
41,2020-02-09,2020-02-15,7,2020,Coccidioidomycosis,0
42,2020-02-09,2020-02-15,7,2020,CRE,3
43,2020-02-09,2020-02-15,7,2020,Cryptococcosis,1
44,2020-02-09,2020-02-15,7,2020,Giardiasis,7
45,2020-02-09,2020-02-15,7,2020,HIV,2
46,2020-02-09,2020-02-15,7,2020,Salmonellosis,9
47,2020-02-09,2020-02-15,7,2020,Tuberculosis,0
48,2020-02-09,2020-02-15,7,2020,Yersiniosis,1
49,2020-02-16,2020-02-22,8,2020,Adult lead poisoning,1
50,2020-02-16,2020-02-22,8,2020,Hepatitis B (acute),4
51,2020-02-16,2020-02-22,8,2020,Hepatitis B (chronic),6
52,2020-02-16,2020-02-22,8,2020,Hepatitis C (acute),0
53,2020-02-16,2020-02-22,8,2020,HUS,0
54,2020-02-16,2020-02-22,8,2020,Legionellosis,2
55,2020-02-16,2020-02-22,8,2020,Lyme disease,0
56,2020-02-16,2020-02-22,8,2020,Meningococcal disease,0
57,2020-02-16,2020-02-22,8,2020,Mpox,0
58,2020-02-16,2020-02-22,8,2020,Mumps,0
59,2020-02-16,2020-02-22,8,2020,Pertussis,16
60,2020-02-16,2020-02-22,8,2020,Shigellosis,2
61,2020-02-16,2020-02-22,8,2020,West Nile virus,0
62,2020-02-23,2020-02-29,9,2020,Campylobacteriosis,15
63,2020-02-23,2020-02-29,9,2020,Chlamydia,359
64,2020-02-23,2020-02-29,9,2020,Early syphilis,16
65,2020-02-23,2020-02-29,9,2020,Extrapulmonary NTM,0
66,2020-02-23,2020-02-29,9,2020,Hepatitis C (chronic),97
67,2020-02-23,2020-02-29,9,2020,HIV,6
68,2020-02-23,2020-02-29,9,2020,Malaria,0
69,2020-02-23,2020-02-29,9,2020,Measles,0
70,2020-03-01,2020-03-07,10,2020,Congenital syphilis,0
71,2020-03-01,2020-03-07,10,2020,E. coli (STEC),3
72,2020-03-01,2020-03-07,10,2020,Gonorrhea,148
73,2020-03-01,2020-03-07,10,2020,Hepatitis A,0
74,2020-03-01,2020-03-07,10,2020,HUS,0
75,2020-03-01,2020-03-07,10,2020,Listeriosis,0
76,2020-03-01,2020-03-07,10,2020,Pesticide Poisoning,2
77,2020-03-01,2020-03-07,10,2020,Vibriosis,0
78,2020-03-01,2020-03-07,10,2020,Yersiniosis,1
