FirstDateOfWeek,LastDateOfWeek,MMWRweek,MMWRyear,Disease,Place_name,Cases,Cases_Label,ReportWeekBegin,ReportWeekEnd,ReportWeek,ReportYear,RunDate
2020-01-12,2020-01-18,3,2020,Congenital syphilis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Hepatitis B (acute),Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Hepatitis B (chronic),Oregon,7,7,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Hepatitis C (acute),Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,HUS,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Legionellosis,Oregon,4,4,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Listeriosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Meningococcal disease,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Mpox,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Mumps,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Pertussis,Oregon,12,12,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Pesticide Poisoning,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Shigellosis,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,West Nile virus,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Campylobacteriosis,Oregon,13,13,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Chlamydia,Oregon,381,381,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Early syphilis,Oregon,20,20,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Extrapulmonary NTM,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Haemophilus influenzae,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Hepatitis C (chronic),Oregon,98,98,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Malaria,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Measles,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Coccidioidomycosis,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Congenital syphilis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,E. coli (STEC),Oregon,4,4,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Gonorrhea,Oregon,145,145,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Hepatitis A,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,HUS,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Listeriosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Pesticide Poisoning,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Vibriosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Yersiniosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Adult lead poisoning,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Campylobacteriosis,Oregon,19,19,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Childhood lead poisoning,Oregon,,1 to 5,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Cryptosporidiosis,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Haemophilus influenzae,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Legionellosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Lyme disease,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,West Nile virus,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Coccidioidomycosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,CRE,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Cryptococcosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Giardiasis,Oregon,7,7,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,HIV,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Salmonellosis,Oregon,9,9,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Tuberculosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Yersiniosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Adult lead poisoning,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Hepatitis B (acute),Oregon,4,4,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Hepatitis B (chronic),Oregon,6,6,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Hepatitis C (acute),Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,HUS,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Legionellosis,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Lyme disease,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Meningococcal disease,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Mpox,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Mumps,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Pertussis,Oregon,16,16,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Shigellosis,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,West Nile virus,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-23,2020-02-29,9,2020,Campylobacteriosis,Oregon,15,15,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-23,2020-02-29,9,2020,Chlamydia,Oregon,359,359,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-23,2020-02-29,9,2020,Early syphilis,Oregon,16,16,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-23,2020-02-29,9,2020,Extrapulmonary NTM,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-23,2020-02-29,9,2020,Hepatitis C (chronic),Oregon,97,97,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-23,2020-02-29,9,2020,HIV,Oregon,6,6,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-23,2020-02-29,9,2020,Malaria,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-23,2020-02-29,9,2020,Measles,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-01,2020-03-07,10,2020,Congenital syphilis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-01,2020-03-07,10,2020,E. coli (STEC),Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-01,2020-03-07,10,2020,Gonorrhea,Oregon,148,148,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-01,2020-03-07,10,2020,Hepatitis A,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-01,2020-03-07,10,2020,HUS,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-01,2020-03-07,10,2020,Listeriosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-01,2020-03-07,10,2020,Pesticide Poisoning,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-01,2020-03-07,10,2020,Vibriosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-01,2020-03-07,10,2020,Yersiniosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-08,2020-03-14,11,2020,Adult lead poisoning,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-08,2020-03-14,11,2020,Campylobacteriosis,Oregon,8,8,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-08,2020-03-14,11,2020,Childhood lead poisoning,Oregon,,1 to 5,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-08,2020-03-14,11,2020,Chlamydia,Oregon,386,386,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-08,2020-03-14,11,2020,Cryptosporidiosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-08,2020-03-14,11,2020,Early syphilis,Oregon,25,25,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-08,2020-03-14,11,2020,Haemophilus influenzae,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-08,2020-03-14,11,2020,Malaria,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-08,2020-03-14,11,2020,Measles,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-15,2020-03-21,12,2020,Coccidioidomycosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-15,2020-03-21,12,2020,CRE,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-15,2020-03-21,12,2020,Cryptococcosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-15,2020-03-21,12,2020,E. coli (STEC),Oregon,4,4,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-15,2020-03-21,12,2020,Giardiasis,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-15,2020-03-21,12,2020,Hepatitis A,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-15,2020-03-21,12,2020,HIV,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-15,2020-03-21,12,2020,Salmonellosis,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-15,2020-03-21,12,2020,Tuberculosis,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-15,2020-03-21,12,2020,Yersiniosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-22,2020-03-28,13,2020,Adult lead poisoning,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-22,2020-03-28,13,2020,Cryptosporidiosis,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-22,2020-03-28,13,2020,Hepatitis B (acute),Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-03-22,2020-03-28,13,2020,Hepatitis B (chronic),Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Cryptococcosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Extrapulmonary NTM,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Hepatitis C (chronic),Oregon,100,100,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,HIV,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Salmonellosis,Oregon,6,6,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Congenital syphilis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
